text,start,duration
The Press: Tomorrow?,2576.006,1.101
"Mr. Spicer: Is that what you&amp;#39;d like, tomorrow?",2577.107,1.135
The Press: That works.,2578.242,1.134
Mr. Spicer: Does that work for you?,2579.376,0.935
(Laughter.),2580.311,0.967
"Okay, well, let me see what I can come up with.",2581.278,1.201
Cecilia.,2582.479,1.368
"The Press: I just want to clarify, do you believe --",2583.847,1.469
"from what you know about these materials, do they",2585.316,1.301
validate the President&amp;#39;s wiretapped claim?,2586.617,2.002
Mr. Spicer: I don&amp;#39;t know.,2588.619,0.967
I have not seen the materials.,2589.586,1.769
It is members of the National Security Committee,2591.355,2.102
who have come across these documents,2593.457,1.168
that want to make them available to the members,2594.625,2.369
who are leading the review.,2596.994,1.134
The Press: And why not just be more forthcoming,2598.128,3.003
about this entire process of who let Nunes in?,2601.131,5.94
If this was enough -- if the President,2607.071,2.969
of the United States could tweet this claim about,2610.04,2.569
"wiretapping, doesn&amp;#39;t the American public have",2612.609,2.37
a right to know more?,2614.979,0.4
"Mr. Spicer: Yes, they do.",2615.379,1.501
And I think that&amp;#39;s why we&amp;#39;re going through a process.,2616.88,2.636
And I say this respectfully -- I,2619.516,1.669
understand that you want all the process answers --,2621.185,3.236
"what day did they come in, what were they wearing,",2624.421,1.936
what door did they come in.,2626.357,1.034
The relevant questions are about the substance of this.,2627.391,3.203
And it&amp;#39;s interesting -- I don&amp;#39;t get the same thing,2630.594,3.804
when I see these unpublished stories,2634.398,1.468
with anonymous sources.,2635.866,0.901
"You don&amp;#39;t ever tell me who your sources were, who --",2636.767,2.769
The Press: Because you&amp;#39;re --,2639.536,1.135
"Mr. Spicer: Glenn, I&amp;#39;m actually asking Cecilia&amp;#39;s question --",2640.671,1.668
if you could be as polite as not to interrupt her.,2642.339,2.069
The Press: I&amp;#39;m sorry.,2644.408,0.767
Mr. Spicer: Thank you.,2645.175,0.935
Do you accept his apology?,2646.11,1.001
The Press: One hundred percent.,2647.111,1.368
(Laughter.),2648.479,1.067
Mr. Spicer: That&amp;#39;s very --,2649.546,1.068
"The Press: In fact, I will cede the floor to Glenn.",2650.614,1.068
Mr. Spicer: Thank you.,2651.682,0.967
"That&amp;#39;s not how it works, though.",2652.649,1.802
But I would argue that you guys have -- when you,2654.451,2.603
"write a story, and you call and say, I have four",2657.054,2.302
"anonymous sources that say whatever, and I say, okay,",2659.356,1.769
"well, who are the sources and where are they coming",2661.125,1.701
"-- you go, sorry, I&amp;#39;m not revealing anything to you,",2662.826,1.769
but the substance that I&amp;#39;m asking you to respond to --,2664.595,2.569
"well, when the shoe is on the other foot, you&amp;#39;re",2667.164,1.802
all about the process.,2668.966,1.268
The bottom line is that there are two,2670.234,1.935
congressional committees that are conducting,2672.169,2.202
"reviews of this situation, and those committees",2674.371,2.603
are looking at the relevant information and talking,2676.974,1.768
to the relevant people.,2678.742,1.735
"To your point about the process, we have made",2680.477,2.369
individuals available and encouraged individuals,2682.846,2.236
to testify or to meet with or to discuss that,2685.082,4.905
have been approached.,2689.987,1.268
So I think that what we are doing is frankly --,2691.255,1.968
"and I know you probably disagree, but I think we",2693.223,1.902
are doing the responsible thing by making sure that,2695.125,2.336
documents and materials are shown to people with,2697.461,2.302
the appropriate classifications,2699.763,1.368
"in the appropriate settings, and that the people",2701.131,2.436
that the different committees would like to discuss,2703.567,2.769
these matters with are made available to them.,2706.336,1.969
I think that&amp;#39;s the responsible way of handling this.,2708.305,5.839
"The Press: Sean, thank you very much.",2714.144,1.535
"I have two questions, one on Venezuela and another one",2715.679,2.302
on climate policy.,2717.981,1.702
"With respect to Venezuela, because today the Supreme Court",2719.683,3.771
of Venezuela said they would take -- try to,2723.454,3.203
take over the Congress powers and the opposition,2726.657,2.402
said a coup is underway.,2729.059,2.169
Do you consider there is a coup underway in,2731.228,2.202
"Venezuela, and what can we expect the United States to do?",2733.43,4.471
"And the other question is on climate change, because",2737.901,2.87
President Obama signed also the bilateral climate,2740.771,3.97
"deals with Brazil, China and India.",2744.741,4.605
And what do you have to those?,2749.346,1.969
"Mr. Spicer: Well, on the first one, respectfully,",2751.315,3.537
I would send you to the -- I would refer you,2754.852,1.468
to the State Department.,2756.32,1.168
The only Supreme Court I&amp;#39;m really focused on right now,2757.488,1.901
is ours and getting Judge Neil Gorsuch,2759.389,2.136
confirmed by the Senate.,2761.525,2.069
"So, I&amp;#39;d be glad -- I think the State Department",2763.594,1.568
is more of an appropriate venue to discuss,2765.162,2.302
the activities over there.,2767.464,1.402
"And second, I think when it comes to things like",2768.866,4.237
"the Paris treaty, as I mentioned at the outset,",2773.103,3.037
that is being --,2776.14,1.701
The Press: Those are separate --,2777.841,1.302
"Mr. Spicer: I understand, but I think that there are things",2779.143,1.701
that we will have updates for on all of these things,2780.844,3.203
as we move forward.,2784.047,1.368
"Right now, I&amp;#39;ve got nothing on that subject.",2785.415,1.502
Yes.,2786.917,1.168
"The Press: Thank you, Sean.",2788.085,0.967
The Wall Street Journal reported this morning,2789.052,1.368
that the Trump administration is proposing more modest,2790.42,2.703
changes to NAFTA.,2793.123,1.335
"Like, for example, they&amp;#39;re leaving the arbitration",2794.458,1.601
"panel that deals with trade disputes in place,",2796.059,1.869
"et cetera, et cetera.",2797.928,1.268
Is the White House backing away from some of the more sweeping,2799.196,4.738
changes to NAFTA that the President proposed,2803.934,2.803
during the campaign? Mr. Spicer: I would just argue that Robert Lighthizer,2806.737,4.037
isn&amp;#39;t even nominated yet.,2810.774,1.568
That is not a statement of administration policy,2812.342,2.369
at this point.,2814.711,1.035
There is nothing in those documents that we are confirming,2815.746,3.069
"-- or in that report, rather, that we are confirming.",2818.815,2.57
That is not a statement of administration policy.,2821.385,2.335
That is not an accurate assessment of where,2823.72,1.969
we are at this time.,2825.689,0.868
And I think our goal is to get Robert Lighthizer,2826.557,4.27
"appointed as the next ambassador and U.S. Trade Representative,",2830.827,3.337
and then when we have that we will have plenty of updates,2834.164,2.436
on where we go with respect to NAFTA and the rest,2836.6,1.635
of our trade agreement.,2838.235,1.301
"With that, I&amp;#39;m going to say goodbye.",2839.536,2.236
I will see you tomorrow.,2841.772,0.901
"Thank you -- oh, I&amp;#39;m sorry, I promised two days",2842.673,2.369
in a row.,2845.042,1.134
The Press: Thank you.,2846.176,1.068
I&amp;#39;ve got one on foreign policy and one on domestic policy.,2847.244,2.035
"First one is, many Republicans were very critical about how",2849.279,3.17
President Obama had handled the Iranian Green Revolution,2852.449,2.669
about six years ago.,2855.118,1.168
"So, my question is, if mass protests across",2856.286,2.102
"Russia develop into a movement, is this",2858.388,2.303
something that -- what does the administration,2860.691,2.135
feel its role should be regarding that?,2862.826,3.137
Mr. Spicer: I&amp;#39;m not going to -- that&amp;#39;s a,2865.963,0.8
hypothetical question to talk about what would,2866.763,2.503
happen and if --,2869.266,0.834
"The Press: No, it&amp;#39;s not --",2870.1,1.435
"Mr. Spicer: I know, but when it comes to protests we obviously",2871.535,3.77
"encourage, as we did last Sunday, the peaceful protest --",2875.305,3.671
the government of Russia to allow the peaceful,2878.976,1.468
protest of individuals throughout their country.,2880.444,2.903
We obviously support the people to have a voice,2883.347,3.436
in every government throughout the world.,2886.783,1.602
The Press: And on the subject of partisanship,2888.385,1.335
"and obstructionism, whose responsibility does the",2889.72,3.403
President feel it is to put an end,2893.123,2.769
to partisanship?,2895.892,1.502
And who needs to be reaching out to whom collectively?,2897.394,2.769
Mr. Spicer: I think it&amp;#39;s a two-way street.,2900.163,1.535
I think part of it is that we -- the President,2901.698,4.338
and the First Lady extended an invitation the other night,2906.036,2.002
for everyone to come.,2908.038,1.335
I think we were excited to see a third of Senate Democrats come.,2909.373,2.535
I wish we had seen more.,2911.908,1.669
There&amp;#39;s an opportunity I think to engage in,2913.577,1.568
a discussion about some of the issues and come together.,2915.145,2.369
But I would argue that when you look at this,2917.514,3.871
"fight on Gorsuch, there are -- I don&amp;#39;t disagree",2921.385,4.537
with the fact that if you&amp;#39;re a Democrat,2925.922,1.402
you probably don&amp;#39;t necessarily agree with some of the rulings,2927.324,3.403
and some of the philosophies of Judge Gorsuch.,2930.727,1.835
I get that.,2932.562,0.968
"But at the end of the day, they have always agreed --",2933.53,3.103
"in fact, in most cases, the filibuster",2936.633,1.969
has never been the norm.,2938.602,2.102
It hasn&amp;#39;t.,2940.704,1.168
And it is odd to see that these individuals who have,2941.872,3.537
-- it&amp;#39;s one thing to vote no; it&amp;#39;s one thing to say,2945.409,2.335
that we don&amp;#39;t agree.,2947.744,1.135
But to now turn to filibustering or threatening to filibuster,2948.879,3.47
"Senate -- unbelievably qualified people, and there is nobody",2952.349,4.338
"that I&amp;#39;m aware of, even on the left, that is suggesting",2956.687,3.003
that Judge Gorsuch isn&amp;#39;t qualified to serve,2959.69,2.202
as a Supreme Court justice.,2961.892,1.568
Republicans in the past have allowed Democrat,2963.46,3.804
Presidents to have their nominees voted on up or,2967.264,2.702
"down, and for the most part, when you go back to",2969.966,1.902
"President Obama, President Clinton, they have been --",2971.868,4.004
Republicans have joined with Democrats to allow,2975.872,1.335
people who are qualified to go onto the Court.,2977.207,2.236
And to see this new precedent be formed by,2979.443,3.336
Leader Schumer is disappointing because,2982.779,2.403
"this is a huge, huge crack.",2985.182,1.368
I think there was a column -- one of the papers today,2986.55,2.269
I think -- you are really fundamentally changing how,2988.819,3.069
the Senate is going to operate by doing this.,2991.888,1.735
And I think that&amp;#39;s an important -- they can,2993.623,3.304
"disagree with him philosophically, I get that.",2996.927,1.935
But when you have an election you can assume,2998.862,2.769
that a Republican President is going,3001.631,2.103
to choose Republicans for appointments and for,3003.734,4.237
"federal judgeships, and the Democrats will do the",3007.971,2.436
same with their time in office.,3010.407,2.636
"But it was Obama&amp;#39;s nominees that got through,",3013.043,4.805
all with Republican support.,3017.848,1.835
And it&amp;#39;s difficult to understand why when you&amp;#39;ve,3019.683,3.737
"got someone as eminently qualified as Gorsuch,",3023.42,2.302
that this is the state that they want to drive.,3025.722,1.502
And I think it further sets a partisan divide,3027.224,2.569
in our country when we can&amp;#39;t allow people who are,3029.793,3.537
qualified and universally so to get on the bench.,3033.33,4.638
The Press: Should it not be done from the President&amp;#39;s side,3037.968,1.768
to try to --,3039.736,1.135
"Mr. Spicer: I think so, sure.",3040.871,1.101
But I think it&amp;#39;s a two-way street.,3041.972,1.268
"I would ask you what is -- I remember a few years ago,",3043.24,4.471
"there was all this talk about, from the get-go,",3047.711,1.935
of Obama -- Democrats made hay about how they wanted,3049.646,2.536
to see him as a one-term President.,3052.182,2.302
I&amp;#39;ve seen a similar tactic from Democrats now about,3054.484,2.836
"how they want to defeat him, they want to stop",3057.32,1.702
"his agenda, and there&amp;#39;s no sense of them wanting to",3059.022,3.103
work with this President.,3062.125,0.868
"So, at some point, I think we have shown",3062.993,2.269
a willingness to bring them together.,3065.262,2.235
"It&amp;#39;s amazing how many senators, when you talk",3067.497,2.269
"to them over the course of the last almost 70 days,",3069.766,4.138
"have said, you know, &amp;quot;I&amp;#39;ve been to the White House",3073.904,1.501
more in the last 70 days of a Trump administration,3075.405,3.07
than I was during eight years of an Obama administration.&amp;quot;,3078.475,2.569
And I think that that speaks to the President&amp;#39;s,3081.044,1.802
desire to bring people together and to find,3082.846,2.903
common ground on areas of mutual agreement where we,3085.749,2.135
can move the country forward.,3087.884,0.901
Thank you.,3088.785,0.834
I&amp;#39;ll see you tomorrow.,3089.619,2.169
